job_title,skills,experience,salary
AI Engineer,deep learning,Senior,158322
Machine Learning Engineer,"python, sql, ML, cloud",Mid,163666
Machine Learning Engineer,"python, ML, cloud",Mid,158556
Business Analyst,"sql, deep learning, cloud",Mid,95775
Data Scientist,"python, sql, ML",Mid,111873
Machine Learning Engineer,"python, ML, deep learning",Senior,165878
Data Scientist,,Entry,67027
Data Analyst,"python, ML, cloud",Entry,78392
Machine Learning Engineer,cloud,Mid,123840
Data Engineer,"python, cloud",Senior,112408
AI Engineer,"sql, deep learning",Entry,103157
Machine Learning Engineer,"sql, ML, cloud",Mid,142392
Data Analyst,"python, sql, cloud",Entry,55663
Data Scientist,python,Mid,90698
Machine Learning Engineer,"python, sql, deep learning, cloud",Entry,135535
Data Analyst,"python, sql, ML",Mid,114339
Business Analyst,"ML, deep learning",Senior,133680
Machine Learning Engineer,"sql, ML",Entry,122049
AI Engineer,"sql, ML, cloud",Entry,116197
AI Engineer,cloud,Mid,122869
Data Scientist,"python, sql, ML",Mid,109735
Data Analyst,"python, deep learning, cloud",Mid,99893
Data Scientist,"python, sql, ML, cloud",Senior,121060
Data Scientist,"sql, cloud",Entry,63319
Machine Learning Engineer,"python, ML",Mid,125784
Data Scientist,"sql, deep learning",Mid,92992
AI Engineer,"python, sql, ML",Senior,154146
Data Engineer,"python, sql, deep learning",Mid,88124
AI Engineer,"sql, ML, deep learning",Mid,140635
Data Analyst,"python, ML",Senior,111931
Machine Learning Engineer,"python, cloud",Mid,129662
Business Analyst,"ML, deep learning",Senior,127141
AI Engineer,"python, deep learning, cloud",Senior,182849
Machine Learning Engineer,"python, sql, ML, cloud",Entry,119087
AI Engineer,ML,Entry,103913
Business Analyst,"python, cloud",Mid,86748
Machine Learning Engineer,"python, cloud",Senior,145728
Data Scientist,"python, sql, ML",Senior,136806
Data Scientist,"ML, deep learning, cloud",Senior,136365
Data Scientist,"python, sql, deep learning, cloud",Senior,145486
Data Analyst,python,Entry,71541
Data Analyst,"sql, ML, deep learning",Mid,101542
Data Scientist,"python, ML, deep learning",Entry,76365
Data Scientist,"python, sql, cloud",Senior,109268
Data Engineer,"deep learning, cloud",Senior,121214
Data Scientist,sql,Mid,94175
Data Analyst,deep learning,Senior,139588
Data Analyst,"python, sql, ML, deep learning, cloud",Mid,130539
Data Scientist,"sql, deep learning, cloud",Entry,93324
Data Analyst,"python, sql",Mid,91015
Data Scientist,python,Mid,71633
Data Scientist,python,Entry,49809
Data Scientist,"sql, ML",Entry,63419
Machine Learning Engineer,"python, ML, deep learning",Senior,171544
Business Analyst,"python, sql, ML, deep learning, cloud",Senior,143017
Machine Learning Engineer,python,Senior,155137
Machine Learning Engineer,"python, ML",Mid,131254
Data Analyst,"sql, ML, cloud",Senior,127570
Machine Learning Engineer,"ML, deep learning, cloud",Entry,154945
Machine Learning Engineer,"python, deep learning, cloud",Mid,136276
Data Engineer,"python, sql, deep learning",Mid,90122
Data Analyst,ML,Mid,93905
Data Scientist,"python, ML, deep learning",Entry,84361
Data Engineer,"python, sql, ML, deep learning, cloud",Mid,110876
Data Scientist,"python, sql, ML, cloud",Mid,104352
Data Analyst,"python, ML, cloud",Mid,97551
Data Engineer,"python, ML, deep learning, cloud",Mid,118915
Data Scientist,ML,Mid,108744
Machine Learning Engineer,,Entry,86994
Data Analyst,"python, deep learning, cloud",Mid,104762
AI Engineer,python,Entry,112546
AI Engineer,"python, sql, cloud",Mid,125142
Data Scientist,"python, sql",Senior,100567
Business Analyst,,Senior,97336
Machine Learning Engineer,deep learning,Entry,107863
Business Analyst,"ML, deep learning, cloud",Mid,115779
Machine Learning Engineer,"sql, ML, cloud",Senior,180984
AI Engineer,"sql, deep learning",Entry,104146
Data Engineer,"python, sql",Entry,49662
Business Analyst,"python, cloud",Mid,81625
Machine Learning Engineer,"sql, cloud",Senior,146990
Business Analyst,"python, sql, ML",Senior,134944
Data Scientist,"sql, deep learning",Entry,88058
Data Engineer,"python, sql, deep learning",Entry,86645
Machine Learning Engineer,"ML, deep learning, cloud",Entry,131305
AI Engineer,sql,Entry,112221
Business Analyst,"python, sql, ML, deep learning",Mid,105619
Business Analyst,ML,Senior,111308
Machine Learning Engineer,"deep learning, cloud",Mid,135804
Data Scientist,"python, ML, deep learning, cloud",Mid,114223
Data Analyst,"sql, ML, cloud",Entry,76809
Business Analyst,"python, ML, deep learning",Mid,107141
Business Analyst,"sql, ML, deep learning",Entry,83646
Data Scientist,"python, sql",Mid,75490
Business Analyst,"sql, ML",Senior,114853
Data Scientist,"python, cloud",Senior,105153
Data Scientist,python,Entry,46252
Data Analyst,deep learning,Entry,67982
Data Analyst,"python, ML, cloud",Entry,98044
Machine Learning Engineer,sql,Entry,113007
Business Analyst,"python, deep learning",Senior,117138
Business Analyst,"python, deep learning",Mid,90468
Business Analyst,"sql, ML, deep learning",Mid,109996
Data Analyst,"python, ML, cloud",Mid,96771
Data Engineer,"sql, ML, deep learning, cloud",Mid,110145
Data Scientist,"python, sql, ML, cloud",Senior,129130
Data Engineer,"python, sql, deep learning, cloud",Mid,124076
Data Engineer,"python, ML, deep learning",Mid,108245
Data Scientist,"sql, ML, deep learning",Entry,83194
Business Analyst,"python, deep learning",Entry,81218
AI Engineer,"python, sql, ML, cloud",Entry,115370
Machine Learning Engineer,"python, sql, deep learning, cloud",Entry,112745
Data Analyst,sql,Senior,104908
Data Analyst,cloud,Senior,108741
Machine Learning Engineer,"python, ML",Entry,122064
Machine Learning Engineer,"python, ML, deep learning",Senior,190084
AI Engineer,"python, sql, deep learning, cloud",Entry,136353
Business Analyst,ML,Entry,89645
AI Engineer,"deep learning, cloud",Senior,163155
Data Analyst,"sql, ML",Entry,65626
