updated,source,company,title,location,is_remote,salary_currency,job_type,url,salary_estimate_min,salary_estimate_max,salary_estimate_median,seniority,skills,company_type
2026-04,jobicy,HubSpot,"UK/I Lead Customer Success Manager, Strategic Accounts",UK,True,USD,Full-Time,https://jobicy.com/jobs/141463-uk-i-lead-customer-success-manager-strategic-accounts,100000.0,140000.0,120000.0,senior,"Customer Success, Strategic Accounts, SaaS, Account Management, Client Relations, Revenue Retention, Cross-functional Collaboration, Data Analysis, Communication, Problem Solving",big_tech
2026-04,jobicy,HubSpot,"Product Manager, Partner Rewards",UK,True,USD,Full-Time,https://jobicy.com/jobs/141462-product-manager-partner-rewards,110000.0,160000.0,135000.0,mid,"Product Management, Partner Rewards, AI, SaaS, GTM, Product Strategy, Stakeholder Management, Data Analysis, Agile, Market Research",big_tech
2026-04,jobicy,Consensys,Senior Analytics Engineer,"EMEA,  LATAM,  Canada,  USA",True,USD,Full-Time,https://jobicy.com/jobs/141461-senior-analytics-engineer,130000.0,190000.0,160000.0,senior,"Analytics Engineering, SQL, Python, Data Warehousing, ETL, Blockchain, Web3, Data Visualization, Big Data, Machine Learning",scaleup
2026-04,jobicy,Billtrust,Sales Executive (Corporate),USA,True,USD,Full-Time,https://jobicy.com/jobs/141445-sales-executive-corporate-2,90000.0,150000.0,120000.0,mid,"Sales, Corporate Sales, B2B, Hunting, CRM, Negotiation, Pipeline Management, Financial Technology, Communication, Revenue Generation",mid_market
2026-04,jobicy,House Rx,Shared Services Project Manager,USA,True,USD,Full-Time,https://jobicy.com/jobs/141444-shared-services-project-manager,80000.0,110000.0,95000.0,mid,"Project Management, Healthcare, Specialty Medications, Stakeholder Management, Process Improvement, Data Analysis, Communication, Agile, Budgeting, Risk Management",startup
2026-04,jobicy,House Rx,Shared Services Care Coordinator,USA,True,USD,Full-Time,https://jobicy.com/jobs/141443-shared-services-care-coordinator,50000.0,70000.0,60000.0,junior,"Patient Coordination, Healthcare, Specialty Medications, Customer Service, Communication, Data Entry, Insurance Verification, Pharmacy, Medical Terminology, Administrative Support",startup
2026-04,jobicy,Everest Clinical Research,"Manager, Site Contracts",Canada,True,USD,Full-Time,https://jobicy.com/jobs/141442-manager-site-contracts,90000.0,130000.0,110000.0,mid,"Site Contracts, Clinical Research, CRO, Contract Negotiation, Legal Compliance, Vendor Management, Documentation, Pharmaceutical, Regulatory Affairs, Project Management",mid_market
2026-04,jobicy,Everest Clinical Research,"Director, Site Payments",Canada,True,USD,Full-Time,https://jobicy.com/jobs/141441-director-site-payments,130000.0,180000.0,155000.0,director,"Clinical Research, Site Payments, CRO, Pharmaceutical, Regulatory Compliance, Budget Management, Vendor Management, Financial Analysis, Process Improvement, Clinical Trials",mid_market
2026-04,jobicy,Twilio,Senior Account Executive,USA,True,USD,Full-Time,https://jobicy.com/jobs/141440-senior-account-executive-2,120000.0,200000.0,160000.0,senior,"Sales, Account Management, CRM, SaaS, Communication, Negotiation, Business Development, Client Relations, Pipeline Management, Revenue Generation",big_tech
2026-04,jobicy,6sense,Sr. Solutions Architect,USA,True,USD,Full-Time,https://jobicy.com/jobs/141437-sr-solutions-architect,140000.0,200000.0,170000.0,senior,"Solutions Architecture, SaaS, CRM, Sales Technology, Integration, API, Cloud Computing, Python, JavaScript, Consulting",scaleup
2026-04,jobicy,California Institute of Applied Technology,Director of Strategic Partnerships,USA,True,USD,Full-Time,https://jobicy.com/jobs/141436-director-of-strategic-partnerships,100000.0,150000.0,125000.0,director,"Partnership Development, Strategic Planning, Business Development, Higher Education, Communication, Negotiation, Marketing, Sales, Project Management, Networking",mid_market
2026-04,jobicy,Twilio,Account Executive 3,USA,True,USD,Full-Time,https://jobicy.com/jobs/141435-account-executive-3,130000.0,200000.0,165000.0,mid,"Sales, Account Management, CRM, Communication, Negotiation, SaaS, Cloud Computing, API, Business Development, Customer Success",big_tech
2026-04,jobicy,AECOM,Protection and Controls Engineer (P.E.) – Substations – Remote (U.S.),USA,True,USD,Full-Time,https://jobicy.com/jobs/141434-protection-and-controls-engineer-p-e-substations-remote-u-s,110000.0,160000.0,135000.0,senior,"Electrical Engineering, Substation Design, Protection Systems, Controls Engineering, P.E. License, CAD, SCADA, Power Systems, Project Management, Compliance",enterprise
2026-04,jobicy,Aviatrix,Senior MTS – Software Development,USA,True,USD,Full-Time,https://jobicy.com/jobs/141433-senior-mts-software-development,160000.0,220000.0,190000.0,senior,"Software Development, Cloud Security, Networking, Python, Go, AWS, Azure, GCP, DevOps, Microservices",scaleup
2026-04,jobicy,Twilio,Account Executive 4,USA,True,USD,Full-Time,https://jobicy.com/jobs/141432-account-executive-4,150000.0,250000.0,200000.0,mid,"Sales, Account Management, CRM, Communication, Negotiation, SaaS, Cloud Computing, API, Business Development, Customer Success",big_tech
2026-04,jobicy,Twilio,Strategic Account Executive 4,USA,True,USD,Full-Time,https://jobicy.com/jobs/141431-strategic-account-executive-4-2,180000.0,300000.0,240000.0,senior,"Sales, Account Management, Strategic Selling, CRM, Communication, Negotiation, SaaS, Cloud Computing, API, Enterprise Software",big_tech
2026-04,jobicy,OKX,"Senior Finance Manager, Intercompany",USA,True,USD,Full-Time,https://jobicy.com/jobs/141430-senior-finance-manager-intercompany,140000.0,200000.0,170000.0,senior,"Finance, Accounting, Intercompany, Financial Reporting, Compliance, Crypto, Blockchain, Excel, ERP Systems, Audit",big_tech
2026-04,jobicy,Pindrop,"Research Scientist Intern (AI/ML Research – Fraud, Authentication, Speech, and Video)",USA,True,USD,Internship,https://jobicy.com/jobs/141429-research-scientist-intern-ai-ml-research-fraud-authentication-speech-and-video,60000.0,90000.0,75000.0,intern,"Machine Learning, Deep Learning, AI Research, Speech Processing, Computer Vision, Python, TensorFlow, PyTorch, Fraud Detection, Authentication",scaleup
2026-04,jobicy,Clover Health,"Principal Technologist, Office of the CTO",USA,True,USD,Full-Time,https://jobicy.com/jobs/141428-principal-technologist-office-of-the-cto,220000.0,320000.0,270000.0,principal,"Cloud Architecture, System Design, Technical Strategy, Problem Solving, Communication, Leadership, Healthcare Technology, Software Development, DevOps, Security",scaleup
2026-04,jobicy,Quince,"Sourcing Manager, Americas (Footwear and Accessories)",USA,True,USD,Full-Time,https://jobicy.com/jobs/141427-sourcing-manager-americas-footwear-and-accessories,90000.0,130000.0,110000.0,mid,"Sourcing, Footwear, Accessories, Supply Chain, Vendor Management, Negotiation, Cost Analysis, Quality Control, Logistics, Market Research",startup
2026-04,jobicy,DoorDash,Global Mobility & Immigration Partner,USA,True,USD,Full-Time,https://jobicy.com/jobs/141426-global-mobility-immigration-partner,100000.0,150000.0,125000.0,mid,"Global Mobility, Immigration, Compliance, HR, Visa Processing, Policy Development, Stakeholder Management, International Law, Relocation, Documentation",scaleup
2026-04,jobicy,Meta,Data Science Manager,USA,True,USD,Full-Time,https://jobicy.com/jobs/141425-data-science-manager,220000.0,350000.0,285000.0,director,"Data Science, Machine Learning, Statistical Analysis, A/B Testing, Python, SQL, Team Leadership, Strategy, Experimentation, Big Data",big_tech
2026-04,jobicy,Meta,IDC Security Engineer,USA,True,USD,Full-Time,https://jobicy.com/jobs/141424-idc-security-engineer,160000.0,240000.0,200000.0,senior,"Security Engineering, Data Center, Network Security, Incident Response, Threat Detection, Automation, Cloud Security, Compliance, Scripting, Monitoring",big_tech
2026-04,jobicy,Meta,Area Project Controls Lead,USA,True,USD,Full-Time,https://jobicy.com/jobs/141423-area-project-controls-lead,150000.0,220000.0,185000.0,senior,"Project Controls, Infrastructure, Cost Management, Scheduling, Risk Management, Reporting, Leadership, Stakeholder Communication, Process Improvement, Data Analysis",big_tech
2026-04,jobicy,Meta,"Product Manager, Workforce Solutions",USA,True,USD,Full-Time,https://jobicy.com/jobs/141422-product-manager-workforce-solutions,180000.0,280000.0,230000.0,senior,"Product Management, Workforce Solutions, Strategy, User Research, Data Analysis, Roadmapping, Cross-functional Leadership, Market Analysis, Agile, Stakeholder Management",big_tech
2026-04,jobicy,Infor,"Account Manager, Senior – WMS (Warehouse Management)",USA,True,USD,Full-Time,https://jobicy.com/jobs/141421-account-manager-senior-wms-warehouse-management,100000.0,150000.0,125000.0,senior,"WMS, Supply Chain, Account Management, Sales, Warehouse Management, Logistics, Value Selling, CRM, Client Relations, Industry Knowledge",enterprise
2026-04,jobicy,Infor,"Channel Account Manager, Senior",USA,True,USD,Full-Time,https://jobicy.com/jobs/141420-channel-account-manager-senior,110000.0,160000.0,135000.0,senior,"Channel Sales, Account Management, Partner Development, SaaS, ERP, Revenue Growth, Negotiation, CRM, Market Analysis, Strategic Planning",enterprise
2026-04,jobicy,ManTech,Site Security Officer,USA,True,USD,Full-Time,https://jobicy.com/jobs/141419-site-security-officer,90000.0,140000.0,115000.0,mid,"Security Clearance, TS/SCI, Physical Security, Risk Assessment, Compliance, Incident Response, Access Control, Security Protocols, Government Regulations, Documentation",enterprise
2026-04,jobicy,ManTech,Workday HCM Business Analyst,USA,True,USD,Full-Time,https://jobicy.com/jobs/141418-workday-hcm-business-analyst,85000.0,125000.0,105000.0,mid,"Workday, HCM, Business Analysis, HRIS, Configuration, Reporting, Process Improvement, Requirements Gathering, Stakeholder Management, Compliance",enterprise
2026-04,jobicy,Hilton,Manager Quality Assurance – All Suites,USA,True,USD,Full-Time,https://jobicy.com/jobs/141417-manager-quality-assurance-all-suites-2,80000.0,120000.0,100000.0,mid,"Quality Assurance, Hospitality Management, Process Auditing, Compliance, Data Analysis, Customer Service, Training, Operational Standards, Reporting, Team Coordination",enterprise
2026-04,jobicy,Commvault,"Manager, Enterprise Success Program","EMEA,  Spain",True,USD,Full-Time,https://jobicy.com/jobs/141377-manager-enterprise-success-program,110000.0,160000.0,135000.0,mid,"Customer Success, Program Management, Enterprise Accounts, Data Protection, Cybersecurity, Stakeholder Management, Metrics Analysis, Process Improvement, Training, Retention Strategies",enterprise
2026-04,jobicy,NECSWS,Senior Implementation Consultant,UK,True,USD,Full-Time,https://jobicy.com/jobs/141376-senior-implementation-consultant,100000.0,150000.0,125000.0,senior,"Implementation Consulting, Software Deployment, Client Engagement, Project Management, Technical Support, Training, Process Optimization, SaaS, System Integration, Documentation",enterprise
2026-04,jobicy,Smartsheet,Regional Sales Director – Nordic & Netherlands,UK,True,USD,Full-Time,https://jobicy.com/jobs/141373-regional-sales-director-nordic-netherlands,180000.0,300000.0,240000.0,director,"Sales Leadership, Regional Management, B2B Sales, SaaS, Account Management, Revenue Growth, Team Building, Market Expansion, CRM, Negotiation",enterprise
2026-04,jobicy,Superside,Social Media Specialist,EMEA,True,USD,Full-Time,https://jobicy.com/jobs/141371-social-media-specialist,60000.0,90000.0,75000.0,mid,"Social Media Management, Content Creation, Brand Strategy, Analytics, Campaign Management, Community Engagement, Digital Marketing, Copywriting, SEO, Graphic Design",agency
2026-04,jobicy,Ping Identity,"Product Manager, Authorize",UK,True,USD,Full-Time,https://jobicy.com/jobs/141362-product-manager-authorize,140000.0,200000.0,170000.0,mid,"Product Management, Identity Management, Authorization, Cybersecurity, API Integration, User Experience, Market Research, Agile Development, Stakeholder Management, Roadmapping",mid_market
