source,title,experience,location,remote_type,salary_usd,skills_standardized
ai_job_market,ai engineer,senior,canada,remote,158322.0,deep_learning
ai_job_market,machine learning engineer,mid,australia,hybrid,163666.0,cloud_computing;machine_learning;python;sql
ai_job_market,machine learning engineer,mid,germany,onsite,158556.0,cloud_computing;machine_learning;python
ai_job_market,business analyst,mid,germany,remote,95775.0,cloud_computing;deep_learning;sql
ai_job_market,data scientist,mid,germany,hybrid,111873.0,machine_learning;python;sql
ai_job_market,machine learning engineer,senior,australia,onsite,165878.0,deep_learning;machine_learning;python
ai_job_market,data scientist,entry,germany,remote,67027.0,unknown
ai_job_market,data analyst,entry,uk,onsite,78392.0,cloud_computing;machine_learning;python
ai_job_market,machine learning engineer,mid,canada,onsite,123840.0,cloud_computing
ai_job_market,data engineer,senior,usa,onsite,112408.0,cloud_computing;python
ai_job_market,ai engineer,entry,singapore,onsite,103157.0,deep_learning;sql
ai_job_market,machine learning engineer,mid,usa,remote,142392.0,cloud_computing;machine_learning;sql
ai_job_market,data analyst,entry,germany,remote,55663.0,cloud_computing;python;sql
ai_job_market,data scientist,mid,australia,remote,90698.0,python
ai_job_market,machine learning engineer,entry,singapore,remote,135535.0,cloud_computing;deep_learning;python;sql
ai_job_market,data analyst,mid,usa,onsite,114339.0,machine_learning;python;sql
ai_job_market,business analyst,senior,germany,onsite,133680.0,deep_learning;machine_learning
ai_job_market,machine learning engineer,entry,uk,remote,122049.0,machine_learning;sql
ai_job_market,ai engineer,entry,uk,onsite,116197.0,cloud_computing;machine_learning;sql
ai_job_market,ai engineer,mid,germany,hybrid,122869.0,cloud_computing
ai_job_market,data scientist,mid,germany,remote,109735.0,machine_learning;python;sql
ai_job_market,data analyst,mid,singapore,hybrid,99893.0,cloud_computing;deep_learning;python
ai_job_market,data scientist,senior,canada,onsite,121060.0,cloud_computing;machine_learning;python;sql
ai_job_market,data scientist,entry,singapore,onsite,63319.0,cloud_computing;sql
ai_job_market,machine learning engineer,mid,india,onsite,125784.0,machine_learning;python
ai_job_market,data scientist,mid,singapore,remote,92992.0,deep_learning;sql
ai_job_market,ai engineer,senior,australia,onsite,154146.0,machine_learning;python;sql
ai_job_market,data engineer,mid,india,hybrid,88124.0,deep_learning;python;sql
ai_job_market,ai engineer,mid,australia,remote,140635.0,deep_learning;machine_learning;sql
ai_job_market,data analyst,senior,germany,hybrid,111931.0,machine_learning;python
ai_job_market,machine learning engineer,mid,singapore,hybrid,129662.0,cloud_computing;python
ai_job_market,business analyst,senior,germany,hybrid,127141.0,deep_learning;machine_learning
ai_job_market,ai engineer,senior,india,remote,182849.0,cloud_computing;deep_learning;python
ai_job_market,machine learning engineer,entry,india,remote,119087.0,cloud_computing;machine_learning;python;sql
ai_job_market,ai engineer,entry,germany,remote,103913.0,machine_learning
ai_job_market,business analyst,mid,singapore,hybrid,86748.0,cloud_computing;python
ai_job_market,machine learning engineer,senior,uk,remote,145728.0,cloud_computing;python
ai_job_market,data scientist,senior,canada,remote,136806.0,machine_learning;python;sql
ai_job_market,data scientist,senior,singapore,remote,136365.0,cloud_computing;deep_learning;machine_learning
ai_job_market,data scientist,senior,canada,remote,145486.0,cloud_computing;deep_learning;python;sql
ai_job_market,data analyst,entry,germany,onsite,71541.0,python
ai_job_market,data analyst,mid,uk,onsite,101542.0,deep_learning;machine_learning;sql
ai_job_market,data scientist,entry,india,hybrid,76365.0,deep_learning;machine_learning;python
ai_job_market,data scientist,senior,germany,hybrid,109268.0,cloud_computing;python;sql
ai_job_market,data engineer,senior,germany,remote,121214.0,cloud_computing;deep_learning
ai_job_market,data scientist,mid,australia,remote,94175.0,sql
ai_job_market,data analyst,senior,germany,onsite,139588.0,deep_learning
ai_job_market,data analyst,mid,uk,hybrid,130539.0,cloud_computing;deep_learning;machine_learning;python;sql
ai_job_market,data scientist,entry,australia,onsite,93324.0,cloud_computing;deep_learning;sql
ai_job_market,data analyst,mid,singapore,remote,91015.0,python;sql
ai_job_market,data scientist,mid,uk,remote,71633.0,python
ai_job_market,data scientist,entry,germany,remote,49809.0,python
